CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	SumFormula	SMILES	InChI	TransitionGroupId
(2-AMINOETHYL)PHOSPHONATE	126.031456	80.97341	1.0	60.0	C2H8NO3P	C(CP(=O)(O)O)N	QQVDJLLNRSOCEL-UHFFFAOYSA-N	(2-AMINOETHYL)PHOSPHONATE_1899
(2-AMINOETHYL)PHOSPHONATE	126.031456	109.00481	0.6829944	60.0	C2H8NO3P	C(CP(=O)(O)O)N	QQVDJLLNRSOCEL-UHFFFAOYSA-N	(2-AMINOETHYL)PHOSPHONATE_1900
(2-AMINOETHYL)PHOSPHONATE	126.031456	97.00499	0.27218112	60.0	C2H8NO3P	C(CP(=O)(O)O)N	QQVDJLLNRSOCEL-UHFFFAOYSA-N	(2-AMINOETHYL)PHOSPHONATE_1901
(2-AMINOETHYL)PHOSPHONATE	126.031456	46.96784	0.14510165	60.0	C2H8NO3P	C(CP(=O)(O)O)N	QQVDJLLNRSOCEL-UHFFFAOYSA-N	(2-AMINOETHYL)PHOSPHONATE_1902
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.38165	184.07344	1.0	60.0	C28H56NO8P	CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	MLKLDGSYMHFAOC-AREMUKBSSA-N	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_1122
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.38165	86.0955	0.08545227	60.0	C28H56NO8P	CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	MLKLDGSYMHFAOC-AREMUKBSSA-N	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_1123
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.38165	125.00016	0.028761985	60.0	C28H56NO8P	CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	MLKLDGSYMHFAOC-AREMUKBSSA-N	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_1124
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.38165	60.08095	0.018340975	60.0	C28H56NO8P	CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	MLKLDGSYMHFAOC-AREMUKBSSA-N	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_1125
1,3,7-TRIMETHYLURIC ACID	211.08257	68.03953	0.8776223	60.0	C8H10N4O3	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	BYXCFUMGEBZDDI-UHFFFAOYSA-N	1,3,7-TRIMETHYLURIC ACID_1561
1,3,7-TRIMETHYLURIC ACID	211.08257	154.06451	0.34440556	60.0	C8H10N4O3	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	BYXCFUMGEBZDDI-UHFFFAOYSA-N	1,3,7-TRIMETHYLURIC ACID_1564
1,3,7-TRIMETHYLURIC ACID	211.08257	42.03559	1.0	60.0	C8H10N4O3	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	BYXCFUMGEBZDDI-UHFFFAOYSA-N	1,3,7-TRIMETHYLURIC ACID_1560
1,3,7-TRIMETHYLURIC ACID	211.08257	126.06825	0.3487762	60.0	C8H10N4O3	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	BYXCFUMGEBZDDI-UHFFFAOYSA-N	1,3,7-TRIMETHYLURIC ACID_1563
1,3,7-TRIMETHYLURIC ACID	211.08257	196.06203	0.7325174	60.0	C8H10N4O3	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	BYXCFUMGEBZDDI-UHFFFAOYSA-N	1,3,7-TRIMETHYLURIC ACID_1562
1,3-DIAMINOPROPANE	75.091675	58.06479	1.0	60.0	C3H10N2	C(CN)CN	XFNJVJPLKCPIBV-UHFFFAOYSA-N	1,3-DIAMINOPROPANE_254
1,3-DIMETHYLURACIL	141.06586	97.0762	0.03166227	60.0	C6H8N2O2	CN1C=CC(=O)N(C1=O)C	JSDBKAHWADVXFU-UHFFFAOYSA-N	1,3-DIMETHYLURACIL_858
1,3-DIMETHYLURACIL	141.06586	84.04462	0.24327177	60.0	C6H8N2O2	CN1C=CC(=O)N(C1=O)C	JSDBKAHWADVXFU-UHFFFAOYSA-N	1,3-DIMETHYLURACIL_857
1,3-DIMETHYLURACIL	141.06586	56.04949	1.0	60.0	C6H8N2O2	CN1C=CC(=O)N(C1=O)C	JSDBKAHWADVXFU-UHFFFAOYSA-N	1,3-DIMETHYLURACIL_856
1,3-DIMETHYLURIC ACID	197.06691	57.04708	1.0	60.0	C7H8N4O3	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	OTSBKHHWSQYEHK-UHFFFAOYSA-N	1,3-DIMETHYLURIC ACID_38
1,3-DIMETHYLURIC ACID	197.06691	169.0752	0.6620267	60.0	C7H8N4O3	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	OTSBKHHWSQYEHK-UHFFFAOYSA-N	1,3-DIMETHYLURIC ACID_39
1,3-DIMETHYLURIC ACID	197.06691	142.06438	0.16258352	60.0	C7H8N4O3	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	OTSBKHHWSQYEHK-UHFFFAOYSA-N	1,3-DIMETHYLURIC ACID_40
1,3-DIMETHYLURIC ACID	197.06691	112.05323	0.12750557	60.0	C7H8N4O3	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	OTSBKHHWSQYEHK-UHFFFAOYSA-N	1,3-DIMETHYLURIC ACID_42
1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE	136.07568	94.06561	0.2604369	60.0	C8H9NO	C1CC2=C(C=CN2)C(=O)C1	KASJZXHXXNEULX-UHFFFAOYSA-N	1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE_203
1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE	136.07568	53.0391	0.29514566	60.0	C8H9NO	C1CC2=C(C=CN2)C(=O)C1	KASJZXHXXNEULX-UHFFFAOYSA-N	1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE_202
1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE	136.07568	80.05065	1.0	60.0	C8H9NO	C1CC2=C(C=CN2)C(=O)C1	KASJZXHXXNEULX-UHFFFAOYSA-N	1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE_201
1,6-ANHYDRO-B-GLUCOSE	163.0601	43.01917	0.68281937	60.0	C6H10O5	C1C2C(C(C(C(O1)O2)O)O)O	TWNIBLMWSKIRAT-VFUOTHLCSA-N	1,6-ANHYDRO-B-GLUCOSE_970
